CountryName,CountryCode,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
Aruba,ABW,11392.45581,12307.31174,13496.00339,14046.504,14936.82704,16241.04632,16439.35636,16586.06844,17927.74964,19078.34319,19356.20339,20620.70063,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.74942,25835.64314,27086.03985,24630.93927,23512.6026,24984.27945,24709.60226,25018.30895,25528.40378,25796.38025,25251.63968
Afghanistan,AFG,,,,,,,,,,,,,,184.4947121,195.7766303,216.7081289,247.66414,269.229693,366.2304432,370.382294,444.1844041,550.514974,599.2976298,648.5110696,647.9664605,625.3395388,590.0764738,549.5827599
Angola,AGO,862.5090577,922.55017,844.6911343,640.6222979,430.3815953,320.657792,388.1667663,512.6209659,506.8849522,419.6398453,385.7688535,555.2969419,526.168743,869.851485,978.5389339,1248.404906,1890.849727,2585.133522,3108.268643,4068.978456,3117.896944,3585.905553,4615.867475,5102.489969,5258.407376,5412.692348,4170.730358,3509.604211
Albania,ALB,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.360204,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4131.872341
Andorra,AND,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.80901,18461.06486,19017.17459,18353.05972,18894.5215,19261.7105,21936.5301,22228.84649,24741.49357,32776.44227,38503.47961,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,37231.81567
Arab World,ARB,1487.739113,1988.567858,1908.979266,2006.795844,1977.461527,1970.860559,2054.384318,2217.417325,2301.16173,2173.421024,2317.038473,2590.222438,2495.939884,2463.398587,2722.378726,3119.164887,3747.312977,4338.385738,4939.53,6116.581229,5159.342763,5918.315891,6856.035033,7465.13523,7510.729986,7456.598173,6429.17084,6183.079222
United Arab Emirates,ARE,23612.7452,27256.29094,26168.26662,25993.55801,25199.34958,25467.19222,26847.08005,28615.58214,29199.52461,26663.3087,28260.00502,33071.26869,31061.52935,31311.35936,33230.52318,36161.17061,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35037.89267,40434.36635,42086.68995,43315.14149,44443.06151,39122.04971,38517.80039
Argentina,ARG,2375.339103,4318.7747,5715.504397,6798.026763,6940.350358,7449.48039,7373.428246,7683.574065,8172.664323,8248.761989,7736.369623,7669.273916,7170.694674,2579.193168,3330.437006,4251.574348,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355
Armenia,ARM,,637.8557412,590.1222257,369.6333681,357.2043399,400.5160919,456.3758998,504.059514,523.2835691,609.1730254,597.4334817,622.7427477,694.4305119,783.2616099,930.1661567,1191.96192,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3605.743117
American Samoa,ASM,,,,,,,,,,,,,,8751.766529,8914.525433,8639.308855,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11901.97526,11744.81555
Antigua and Barbuda,ATG,6585.840403,6889.004721,7156.853555,7296.551713,7652.102825,8218.597716,7841.463843,8379.576969,8755.156647,9115.234346,9363.186445,9932.029681,9414.160591,9443.063591,9801.966935,10419.31113,11452.73878,12812.76444,14350.91889,14797.36849,13082.28181,12174.6978,11931.204,12517.55794,12194.54959,12900.903,13602.42124,14506.60354
Australia,AUS,17801.26827,18214.83698,18824.2474,18569.76879,17633.38138,18045.43906,20319.63063,21861.32551,23468.59683,21318.96417,20521.77757,21669.41091,19482.5679,20074.22931,23437.31215,30401.55479,33961.6818,36019.20305,40905.47089,49535.25787,42709.8033,51936.88871,62411.78545,67891.58681,68042.53479,62403.09553,56644.03396,49937.73139
Austria,AUT,17468.94619,21680.98969,22410.91174,24880.16407,24081.52781,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44176.67174,45103.32981
Azerbaijan,AZE,,1266.020967,1131.397355,673.331934,529.8136618,436.216869,397.1981161,409.2107552,505.5637747,561.9070354,573.8932966,655.0974326,703.6838434,763.080638,883.6439965,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731
Burundi,BDI,210.9695203,209.0516152,210.6438772,191.310913,162.635225,157.5430015,167.7991717,143.8532933,159.1755281,144.4746122,128.6964397,135.9984455,133.7427689,122.4335893,112.8493703,127.4296648,150.4876135,165.9047485,170.8151515,196.2718079,209.8537621,231.7955369,247.2293791,250.3627366,255.372691,273.538285,304.3742207,281.1813376
